image 0	Original (165, 35, 13)	Detected (165, 35, 14)
image 481	Original (103, 179, 43)	Detected (103, 179, 42)
image 482	Original (89, 100, 47)	Detected (89, 100, 48)
image 483	Original (75, 148, 48)	Detected (75, 148, 49)
image 484	Original (162, 79, 17)	Detected (162, 79, 18)
image 485	Original (60, 3, 22)	Detected (60, 3, 23)
image 486	Original (26, 88, 18)	Detected (26, 88, 19)
image 487	Original (180, 120, 22)	Detected (180, 120, 21)
image 488	Original (134, 5, 15)	Detected (134, 5, 16)
image 489	Original (139, 120, 40)	Detected (139, 120, 41)
image 490	Original (139, 0, 20)	Detected (140, 3, 18)
image 491	Original (77, 49, 21)	Detected (77, 49, 22)
image 492	Original (61, 178, 19)	Detected (61, 178, 20)
image 493	Original (35, 92, 36)	Detected (35, 92, 37)
image 494	Original (119, 45, 47)	Detected (119, 45, 48)
image 495	Original (5, 96, 32)	Detected (6, 96, 33)
image 496	Original (165, 110, 11)	Detected (165, 110, 12)
image 497	Original (29, 68, 21)	Detected (29, 68, 22)
image 498	Original (144, 106, 38)	Detected (144, 106, 37)
image 499	Original (130, 95, 20)	Detected (130, 95, 21)
image 500	Original (66, 152, 35)	Detected (66, 152, 34)
image 501	Original (127, 14, 47)	Detected (127, 14, 48)
image 502	Original (1, 55, 18)	Detected (1, 55, 17)
image 503	Original (27, 92, 15)	Detected (27, 92, 16)
image 504	Original (96, 107, 20)	Detected (96, 107, 21)
image 505	Original (154, 59, 10)	Detected (154, 59, 11)
image 506	Original (80, 41, 41)	Detected (80, 41, 40)
image 507	Original (40, 129, 17)	Detected (40, 129, 18)
image 508	Original (83, 31, 32)	Detected (83, 31, 33)
image 509	Original (6, 61, 14)	Detected (6, 61, 13)
image 510	Original (34, 72, 33)	Detected (34, 72, 34)
image 511	Original (16, 83, 33)	Detected (16, 83, 32)
image 512	Original (176, 52, 22)	Detected (176, 52, 23)
image 513	Original (69, 45, 13)	Detected (69, 45, 11)
image 514	Original (194, 29, 29)	Detected (193, 29, 27)
image 515	Original (58, 114, 12)	Detected (58, 114, 13)
image 516	Original (46, 177, 47)	Detected (46, 177, 46)
image 517	Original (164, 80, 18)	Detected (164, 80, 19)
image 518	Original (33, 31, 38)	Detected (33, 31, 37)
image 519	Original (94, 48, 40)	Detected (94, 48, 41)
image 520	Original (83, 18, 49)	Detected (83, 17, 48)
image 521	Original (145, 106, 48)	Detected (145, 106, 49)
image 522	Original (3, 161, 20)	Detected (2, 161, 22)
image 523	Original (61, 36, 27)	Detected (61, 36, 28)
image 524	Original (176, 121, 22)	Detected (176, 121, 23)
image 525	Original (47, 125, 16)	Detected (47, 125, 15)
image 526	Original (51, 157, 37)	Detected (51, 157, 38)
image 527	Original (43, 154, 45)	Detected (43, 154, 44)
image 528	Original (20, 18, 17)	Detected (20, 18, 18)
image 529	Original (133, 151, 12)	Detected (133, 151, 13)
image 530	Original (141, 87, 23)	Detected (141, 87, 24)
image 531	Original (67, 92, 44)	Detected (67, 92, 45)
image 532	Original (149, 90, 44)	Detected (149, 90, 45)
image 533	Original (169, 145, 12)	Detected (169, 145, 13)
image 534	Original (4, 180, 16)	Detected (4, 180, 15)
image 535	Original (185, 13, 33)	Detected (185, 13, 34)
image 536	Original (36, 81, 42)	Detected (36, 81, 43)
image 537	Original (158, 131, 26)	Detected (158, 131, 27)
image 538	Original (122, 82, 10)	Detected (122, 82, 11)
image 539	Original (152, 93, 21)	Detected (152, 93, 20)
image 540	Original (104, 31, 12)	Detected (104, 31, 13)
image 541	Original (84, 120, 27)	Detected (84, 120, 28)
image 542	Original (12, 46, 13)	Detected (12, 46, 14)
image 543	Original (88, 125, 18)	Detected (88, 125, 19)
image 544	Original (157, 37, 42)	Detected (157, 37, 43)
image 545	Original (20, 167, 20)	Detected (20, 167, 19)
image 546	Original (75, 6, 28)	Detected (75, 6, 29)
image 547	Original (137, 178, 46)	Detected (137, 178, 45)
image 548	Original (106, 75, 28)	Detected (106, 75, 29)
image 549	Original (145, 170, 32)	Detected (145, 170, 33)
image 550	Original (150, 128, 40)	Detected (150, 128, 39)
image 551	Original (42, 17, 47)	Detected (42, 17, 48)
image 552	Original (61, 150, 17)	Detected (61, 150, 16)
image 553	Original (64, 61, 16)	Detected (64, 61, 17)
image 554	Original (112, 50, 22)	Detected (112, 50, 23)
image 555	Original (2, 20, 18)	Detected (2, 20, 19)
image 556	Original (62, 82, 38)	Detected (62, 82, 39)
image 557	Original (147, 154, 47)	Detected (147, 154, 48)
image 558	Original (121, 139, 18)	Detected (121, 139, 17)
image 559	Original (167, 101, 15)	Detected (167, 101, 16)
image 560	Original (74, 19, 28)	Detected (74, 19, 29)
image 561	Original (171, 16, 36)	Detected (171, 16, 37)
image 562	Original (176, 121, 11)	Detected (176, 121, 12)
image 563	Original (44, 164, 48)	Detected (44, 164, 47)
image 564	Original (124, 129, 12)	Detected (124, 129, 13)
image 565	Original (93, 175, 17)	Detected (93, 175, 18)
image 566	Original (179, 172, 10)	Detected (181, 172, 10)
image 567	Original (157, 4, 48)	Detected (157, 4, 49)
image 568	Original (57, 2, 37)	Detected (57, 1, 36)
image 569	Original (44, 90, 34)	Detected (44, 90, 33)
image 570	Original (182, 171, 45)	Detected (182, 170, 43)
image 571	Original (11, 72, 27)	Detected (11, 72, 28)
image 572	Original (53, 158, 34)	Detected (53, 158, 35)
image 573	Original (146, 4, 31)	Detected (146, 4, 32)
image 574	Original (123, 139, 40)	Detected (123, 139, 39)
image 575	Original (49, 0, 21)	Detected (49, 0, 22)
image 576	Original (186, 63, 15)	Detected (186, 63, 16)
image 577	Original (197, 188, 17)	Detected (195, 186, 16)
image 578	Original (86, 135, 13)	Detected (86, 135, 14)
image 579	Original (189, 18, 27)	Detected (189, 18, 28)
image 580	Original (56, 134, 36)	Detected (56, 134, 37)
image 581	Original (164, 66, 23)	Detected (164, 66, 24)
image 582	Original (33, 83, 31)	Detected (33, 83, 32)
image 583	Original (56, 18, 39)	Detected (56, 18, 40)
image 584	Original (164, 19, 10)	Detected (164, 19, 11)
image 585	Original (79, 179, 18)	Detected (79, 179, 19)
image 586	Original (117, 176, 41)	Detected (117, 176, 42)
image 587	Original (59, 57, 12)	Detected (59, 57, 13)
image 588	Original (197, 128, 17)	Detected (197, 128, 16)
image 589	Original (36, 109, 47)	Detected (36, 109, 46)
image 590	Original (15, 56, 22)	Detected (15, 56, 23)
image 591	Original (196, 94, 41)	Detected (196, 94, 42)
image 592	Original (196, 102, 43)	Detected (197, 102, 45)
image 593	Original (15, 144, 25)	Detected (15, 144, 26)
image 594	Original (16, 173, 28)	Detected (16, 173, 27)
image 595	Original (197, 162, 10)	Detected (196, 161, 10)
image 596	Original (112, 160, 11)	Detected (112, 160, 12)
image 597	Original (45, 53, 47)	Detected (45, 53, 46)
image 598	Original (32, 185, 12)	Detected (32, 185, 13)
image 599	Original (151, 17, 31)	Detected (151, 17, 32)
image 600	Original (33, 165, 46)	Detected (33, 165, 45)
image 601	Original (60, 146, 48)	Detected (60, 146, 49)
image 602	Original (103, 12, 12)	Detected (103, 12, 13)
image 603	Original (153, 74, 44)	Detected (153, 74, 45)
image 604	Original (32, 193, 45)	Detected (32, 193, 44)
image 605	Original (33, 102, 24)	Detected (32, 103, 24)
image 606	Original (186, 127, 37)	Detected (187, 127, 36)
image 607	Original (8, 173, 11)	Detected (8, 173, 10)
image 608	Original (44, 2, 45)	Detected (44, 1, 47)
image 609	Original (1, 103, 34)	Detected (1, 103, 33)
image 610	Original (55, 165, 40)	Detected (55, 165, 39)
image 611	Original (13, 156, 36)	Detected (14, 156, 37)
image 612	Original (13, 22, 35)	Detected (13, 22, 36)
image 613	Original (87, 174, 16)	Detected (87, 174, 17)
image 614	Original (20, 35, 26)	Detected (20, 35, 25)
image 615	Original (177, 55, 23)	Detected (177, 55, 24)
image 616	Original (53, 181, 25)	Detected (53, 181, 26)
image 617	Original (112, 96, 34)	Detected (112, 96, 35)
image 618	Original (153, 82, 32)	Detected (153, 82, 33)
image 619	Original (180, 193, 32)	Detected (180, 192, 30)
image 620	Original (118, 163, 23)	Detected (118, 163, 24)
image 621	Original (170, 84, 12)	Detected (170, 84, 13)
image 622	Original (78, 71, 22)	Detected (78, 71, 23)
image 623	Original (130, 102, 42)	Detected (130, 102, 43)
image 624	Original (12, 194, 23)	Detected (12, 194, 22)
image 625	Original (136, 28, 11)	Detected (136, 28, 12)
image 626	Original (90, 42, 40)	Detected (90, 42, 41)
image 627	Original (124, 18, 15)	Detected (124, 18, 16)
image 628	Original (61, 182, 41)	Detected (61, 182, 40)
image 629	Original (49, 23, 16)	Detected (49, 23, 17)
image 630	Original (41, 131, 35)	Detected (41, 131, 36)
image 631	Original (72, 180, 41)	Detected (72, 180, 40)
image 632	Original (127, 195, 29)	Detected (127, 195, 28)
image 633	Original (69, 145, 18)	Detected (69, 145, 19)
image 634	Original (138, 119, 49)	Detected (138, 119, 48)
image 635	Original (107, 138, 39)	Detected (107, 138, 40)
image 636	Original (79, 132, 14)	Detected (79, 132, 15)
image 637	Original (139, 130, 15)	Detected (139, 130, 16)
image 638	Original (92, 181, 20)	Detected (92, 181, 19)
image 639	Original (33, 5, 32)	Detected (33, 4, 31)
image 640	Original (53, 109, 32)	Detected (53, 109, 33)
image 641	Original (185, 152, 48)	Detected (185, 152, 49)
image 642	Original (51, 101, 14)	Detected (51, 101, 15)
image 643	Original (42, 182, 39)	Detected (42, 182, 40)
image 644	Original (106, 47, 13)	Detected (107, 45, 13)
image 645	Original (77, 158, 20)	Detected (79, 158, 20)
image 646	Original (142, 175, 16)	Detected (142, 175, 17)
image 647	Original (45, 94, 32)	Detected (45, 94, 33)
image 648	Original (127, 51, 16)	Detected (127, 51, 17)
image 649	Original (177, 182, 13)	Detected (177, 182, 14)
image 650	Original (190, 174, 17)	Detected (190, 174, 18)
image 651	Original (55, 8, 47)	Detected (55, 8, 48)
image 652	Original (2, 24, 12)	Detected (2, 24, 13)
image 653	Original (163, 97, 49)	Detected (163, 97, 48)
image 654	Original (102, 119, 15)	Detected (102, 119, 16)
image 655	Original (27, 15, 33)	Detected (27, 15, 32)
image 656	Original (183, 131, 46)	Detected (183, 131, 47)
image 657	Original (120, 110, 35)	Detected (120, 110, 36)
image 658	Original (92, 76, 33)	Detected (92, 76, 34)
image 659	Original (188, 85, 16)	Detected (188, 85, 17)
image 660	Original (120, 20, 30)	Detected (120, 20, 31)
image 661	Original (113, 52, 22)	Detected (113, 52, 21)
image 662	Original (134, 112, 25)	Detected (134, 112, 26)
image 663	Original (134, 22, 29)	Detected (134, 22, 30)
image 664	Original (59, 127, 35)	Detected (59, 127, 34)
image 665	Original (185, 9, 21)	Detected (185, 9, 22)
image 666	Original (133, 65, 36)	Detected (133, 65, 35)
image 667	Original (62, 167, 45)	Detected (62, 166, 46)
image 668	Original (101, 161, 43)	Detected (101, 161, 42)
image 669	Original (94, 11, 37)	Detected (94, 11, 38)
image 670	Original (199, 157, 13)	Detected (198, 157, 13)
image 671	Original (171, 173, 13)	Detected (171, 173, 14)
image 672	Original (172, 128, 15)	Detected (172, 128, 16)
image 673	Original (78, 70, 23)	Detected (78, 70, 22)
image 674	Original (166, 192, 44)	Detected (166, 192, 43)
image 675	Original (140, 196, 13)	Detected (139, 193, 13)
image 676	Original (91, 17, 31)	Detected (91, 17, 32)
image 677	Original (109, 135, 18)	Detected (109, 135, 19)
image 678	Original (71, 147, 30)	Detected (71, 147, 31)
image 679	Original (77, 26, 38)	Detected (77, 26, 39)
image 680	Original (38, 190, 47)	Detected (38, 190, 46)
image 681	Original (82, 77, 21)	Detected (82, 77, 22)
image 682	Original (34, 62, 20)	Detected (34, 62, 21)
image 683	Original (155, 157, 10)	Detected (155, 157, 11)
image 684	Original (88, 55, 32)	Detected (88, 55, 33)
image 685	Original (117, 64, 35)	Detected (117, 64, 36)
image 686	Original (188, 58, 27)	Detected (188, 58, 28)
image 687	Original (5, 156, 20)	Detected (5, 156, 21)
image 688	Original (35, 41, 33)	Detected (35, 41, 34)
image 689	Original (90, 65, 43)	Detected (90, 65, 42)
image 690	Original (118, 190, 33)	Detected (118, 189, 31)
image 691	Original (7, 41, 10)	Detected (6, 42, 10)
image 692	Original (68, 113, 23)	Detected (68, 113, 24)
image 693	Original (109, 180, 23)	Detected (109, 180, 22)
image 694	Original (120, 88, 27)	Detected (120, 88, 28)
image 695	Original (131, 116, 23)	Detected (131, 116, 24)
image 696	Original (89, 59, 34)	Detected (89, 59, 35)
image 697	Original (140, 172, 23)	Detected (140, 172, 24)
image 698	Original (86, 63, 33)	Detected (86, 63, 32)
image 699	Original (74, 196, 18)	Detected (74, 195, 16)
image 700	Original (113, 152, 46)	Detected (113, 152, 45)
image 701	Original (100, 171, 22)	Detected (100, 171, 23)
image 702	Original (27, 140, 30)	Detected (27, 140, 31)
image 703	Original (142, 28, 41)	Detected (142, 28, 42)
image 704	Original (148, 26, 16)	Detected (149, 24, 16)
image 705	Original (12, 18, 36)	Detected (13, 18, 34)
image 706	Original (88, 17, 24)	Detected (88, 17, 25)
image 707	Original (140, 173, 31)	Detected (140, 173, 30)
image 708	Original (150, 98, 31)	Detected (150, 98, 30)
image 709	Original (145, 113, 21)	Detected (145, 113, 22)
image 710	Original (63, 27, 38)	Detected (63, 27, 39)
image 711	Original (191, 134, 42)	Detected (191, 134, 43)
image 712	Original (108, 142, 14)	Detected (108, 142, 15)
image 713	Original (181, 9, 27)	Detected (181, 9, 28)
image 714	Original (134, 31, 41)	Detected (134, 31, 42)
image 715	Original (8, 174, 10)	Detected (8, 174, 11)
image 716	Original (159, 101, 40)	Detected (159, 101, 39)
image 717	Original (172, 24, 33)	Detected (172, 24, 34)
image 718	Original (153, 199, 43)	Detected (153, 199, 42)
image 719	Original (166, 195, 39)	Detected (166, 194, 37)
image 720	Original (10, 62, 31)	Detected (10, 62, 30)
image 721	Original (150, 84, 10)	Detected (150, 84, 11)
image 722	Original (82, 70, 47)	Detected (82, 70, 46)
image 723	Original (81, 95, 33)	Detected (81, 95, 34)
image 724	Original (129, 125, 12)	Detected (129, 125, 13)
image 725	Original (32, 89, 22)	Detected (32, 89, 23)
image 726	Original (146, 112, 46)	Detected (146, 112, 45)
image 727	Original (70, 125, 29)	Detected (70, 125, 30)
image 728	Original (53, 191, 17)	Detected (54, 189, 17)
image 729	Original (22, 164, 42)	Detected (22, 164, 41)
image 730	Original (27, 10, 13)	Detected (27, 10, 14)
image 731	Original (85, 98, 15)	Detected (85, 98, 16)
image 732	Original (169, 28, 15)	Detected (169, 28, 16)
image 733	Original (52, 130, 14)	Detected (52, 130, 15)
image 734	Original (199, 81, 24)	Detected (199, 81, 25)
image 735	Original (76, 93, 27)	Detected (76, 93, 28)
image 736	Original (172, 55, 49)	Detected (172, 55, 48)
image 737	Original (94, 53, 13)	Detected (94, 53, 14)
image 738	Original (155, 17, 16)	Detected (155, 17, 17)
image 739	Original (9, 135, 18)	Detected (9, 135, 19)
image 740	Original (139, 29, 41)	Detected (139, 28, 40)
image 741	Original (164, 190, 26)	Detected (164, 190, 27)
image 742	Original (6, 111, 23)	Detected (6, 111, 22)
image 743	Original (85, 74, 49)	Detected (86, 73, 49)
image 744	Original (119, 56, 47)	Detected (119, 56, 48)
image 745	Original (15, 48, 46)	Detected (15, 48, 45)
image 746	Original (0, 152, 39)	Detected (0, 152, 40)
image 747	Original (112, 17, 18)	Detected (110, 17, 18)
image 748	Original (118, 76, 44)	Detected (118, 76, 45)
image 749	Original (45, 13, 41)	Detected (45, 13, 42)
image 750	Original (77, 73, 19)	Detected (77, 73, 18)
image 751	Original (57, 121, 37)	Detected (57, 121, 36)
image 752	Original (148, 145, 31)	Detected (148, 145, 32)
image 753	Original (45, 105, 15)	Detected (45, 105, 14)
image 754	Original (73, 21, 39)	Detected (73, 21, 40)
image 755	Original (97, 52, 41)	Detected (97, 52, 40)
image 756	Original (182, 112, 26)	Detected (182, 112, 27)
image 757	Original (99, 121, 39)	Detected (99, 121, 40)
image 758	Original (123, 84, 24)	Detected (123, 84, 25)
image 759	Original (27, 169, 26)	Detected (27, 169, 27)
image 760	Original (68, 101, 30)	Detected (68, 101, 31)
image 761	Original (133, 177, 34)	Detected (133, 177, 33)
image 762	Original (137, 189, 17)	Detected (137, 188, 15)
image 763	Original (107, 71, 17)	Detected (107, 71, 16)
image 764	Original (4, 146, 38)	Detected (4, 146, 37)
image 765	Original (159, 6, 26)	Detected (159, 6, 27)
image 766	Original (24, 9, 24)	Detected (25, 10, 24)
image 767	Original (112, 140, 46)	Detected (112, 140, 45)
image 768	Original (37, 73, 42)	Detected (37, 73, 43)
image 769	Original (140, 120, 48)	Detected (140, 120, 47)
image 770	Original (164, 89, 46)	Detected (164, 89, 47)
image 771	Original (100, 164, 28)	Detected (100, 164, 29)
image 772	Original (54, 42, 49)	Detected (54, 42, 48)
image 773	Original (110, 3, 42)	Detected (110, 3, 43)
image 774	Original (40, 5, 21)	Detected (40, 4, 20)
image 775	Original (81, 81, 45)	Detected (81, 81, 46)
image 776	Original (41, 63, 15)	Detected (41, 63, 16)
image 777	Original (188, 148, 12)	Detected (188, 148, 13)
image 778	Original (147, 132, 11)	Detected (147, 132, 12)
image 779	Original (178, 189, 40)	Detected (178, 188, 38)
image 780	Original (103, 96, 33)	Detected (103, 96, 34)
image 781	Original (19, 120, 43)	Detected (19, 120, 44)
image 782	Original (78, 57, 41)	Detected (78, 57, 42)
image 783	Original (138, 119, 18)	Detected (138, 119, 19)
image 784	Original (0, 4, 11)	Detected (0, 4, 12)
image 785	Original (132, 2, 43)	Detected (132, 2, 44)
image 786	Original (20, 187, 41)	Detected (19, 187, 43)
image 787	Original (120, 33, 33)	Detected (120, 33, 32)
image 788	Original (152, 89, 36)	Detected (152, 89, 35)
image 789	Original (196, 17, 14)	Detected (196, 17, 15)
image 790	Original (109, 94, 27)	Detected (109, 94, 28)
image 791	Original (174, 73, 27)	Detected (174, 73, 28)
image 792	Original (68, 84, 21)	Detected (68, 84, 22)
image 793	Original (4, 169, 16)	Detected (4, 169, 17)
image 794	Original (113, 83, 18)	Detected (113, 83, 19)
image 795	Original (188, 110, 41)	Detected (188, 110, 42)
image 796	Original (84, 93, 33)	Detected (84, 93, 34)
image 797	Original (151, 29, 37)	Detected (151, 29, 38)
image 798	Original (137, 89, 15)	Detected (137, 89, 16)
image 799	Original (174, 65, 27)	Detected (174, 65, 28)
image 800	Original (23, 55, 31)	Detected (23, 55, 32)
image 801	Original (128, 55, 47)	Detected (128, 55, 48)
image 802	Original (99, 171, 15)	Detected (99, 171, 16)
image 803	Original (139, 25, 34)	Detected (139, 25, 35)
image 804	Original (49, 31, 36)	Detected (49, 31, 37)
image 805	Original (34, 152, 45)	Detected (34, 152, 46)
image 806	Original (12, 153, 29)	Detected (13, 153, 27)
image 807	Original (177, 49, 41)	Detected (177, 49, 42)
image 808	Original (168, 191, 11)	Detected (168, 191, 12)
image 809	Original (95, 182, 37)	Detected (95, 182, 36)
image 810	Original (177, 111, 18)	Detected (177, 111, 19)
image 811	Original (14, 160, 37)	Detected (15, 160, 38)
image 812	Original (175, 17, 24)	Detected (175, 17, 23)
image 813	Original (83, 84, 39)	Detected (83, 84, 40)
image 814	Original (140, 30, 36)	Detected (140, 30, 37)
image 815	Original (62, 24, 35)	Detected (62, 24, 34)
image 816	Original (7, 83, 23)	Detected (8, 84, 23)
image 817	Original (77, 61, 29)	Detected (77, 61, 30)
image 818	Original (24, 143, 38)	Detected (24, 143, 39)
image 819	Original (50, 111, 18)	Detected (50, 111, 19)
image 820	Original (143, 133, 23)	Detected (143, 133, 22)
image 821	Original (88, 138, 40)	Detected (88, 138, 39)
image 822	Original (52, 195, 12)	Detected (54, 193, 11)
image 823	Original (50, 83, 34)	Detected (50, 83, 33)
image 824	Original (1, 5, 38)	Detected (21, 27, 10)
image 825	Original (162, 13, 17)	Detected (164, 13, 17)
image 826	Original (9, 66, 18)	Detected (9, 66, 19)
image 827	Original (164, 28, 35)	Detected (164, 28, 34)
image 828	Original (19, 175, 47)	Detected (19, 175, 46)
image 829	Original (98, 33, 12)	Detected (98, 33, 13)
image 830	Original (170, 31, 29)	Detected (170, 31, 28)
image 831	Original (137, 169, 22)	Detected (137, 169, 21)
image 832	Original (120, 71, 18)	Detected (120, 71, 19)
image 833	Original (165, 108, 48)	Detected (165, 108, 49)
image 834	Original (193, 88, 34)	Detected (193, 88, 35)
image 835	Original (31, 105, 21)	Detected (31, 105, 22)
image 836	Original (76, 13, 26)	Detected (76, 13, 27)
image 837	Original (149, 199, 40)	Detected (149, 199, 39)
image 838	Original (137, 87, 25)	Detected (137, 87, 26)
image 839	Original (105, 133, 31)	Detected (105, 133, 30)
image 840	Original (90, 75, 46)	Detected (90, 75, 47)
image 841	Original (18, 39, 35)	Detected (18, 39, 34)
image 842	Original (40, 83, 26)	Detected (40, 83, 27)
image 843	Original (195, 80, 19)	Detected (194, 80, 17)
image 844	Original (7, 170, 46)	Detected (7, 170, 45)
image 845	Original (178, 117, 44)	Detected (178, 117, 45)
image 846	Original (132, 23, 39)	Detected (132, 23, 40)
image 847	Original (124, 148, 22)	Detected (124, 148, 23)
image 848	Original (45, 185, 34)	Detected (45, 185, 33)
image 849	Original (130, 151, 49)	Detected (130, 151, 48)
image 850	Original (80, 12, 44)	Detected (80, 12, 45)
image 851	Original (105, 28, 10)	Detected (105, 27, 11)
image 852	Original (73, 50, 29)	Detected (73, 50, 30)
image 853	Original (186, 186, 34)	Detected (186, 186, 35)
image 854	Original (38, 22, 20)	Detected (38, 22, 21)
image 855	Original (198, 159, 25)	Detected (199, 159, 27)
image 856	Original (39, 25, 32)	Detected (39, 25, 33)
image 857	Original (175, 115, 25)	Detected (175, 115, 26)
image 858	Original (10, 59, 46)	Detected (10, 59, 45)
image 859	Original (167, 17, 35)	Detected (167, 17, 36)
image 860	Original (138, 143, 19)	Detected (138, 143, 20)
image 861	Original (141, 94, 22)	Detected (141, 94, 23)
image 862	Original (149, 11, 39)	Detected (149, 11, 40)
image 863	Original (18, 170, 31)	Detected (18, 170, 30)
image 864	Original (114, 32, 40)	Detected (114, 32, 41)
image 865	Original (52, 134, 18)	Detected (52, 134, 19)
image 866	Original (82, 120, 21)	Detected (82, 120, 22)
image 867	Original (68, 102, 16)	Detected (68, 102, 17)
image 868	Original (79, 11, 25)	Detected (79, 10, 24)
image 869	Original (138, 101, 33)	Detected (138, 101, 34)
image 870	Original (199, 76, 19)	Detected (198, 76, 17)
image 871	Original (35, 154, 21)	Detected (35, 154, 22)
image 872	Original (193, 25, 30)	Detected (193, 25, 31)
image 873	Original (163, 186, 19)	Detected (163, 186, 20)
image 874	Original (26, 121, 13)	Detected (26, 121, 14)
image 875	Original (144, 108, 36)	Detected (144, 108, 35)
image 876	Original (116, 137, 11)	Detected (116, 137, 12)
image 877	Original (18, 146, 25)	Detected (18, 146, 26)
image 878	Original (55, 155, 16)	Detected (55, 155, 17)
image 879	Original (117, 153, 35)	Detected (117, 153, 34)
image 880	Original (173, 118, 44)	Detected (173, 118, 45)
image 881	Original (145, 16, 37)	Detected (145, 16, 38)
image 882	Original (194, 193, 44)	Detected (193, 192, 44)
image 883	Original (184, 187, 18)	Detected (184, 186, 16)
image 884	Original (129, 169, 39)	Detected (129, 169, 38)
image 885	Original (185, 91, 39)	Detected (185, 91, 40)
image 886	Original (194, 47, 45)	Detected (195, 47, 44)
image 887	Original (155, 198, 41)	Detected (155, 197, 42)
image 888	Original (61, 161, 23)	Detected (61, 161, 22)
image 889	Original (21, 184, 44)	Detected (21, 184, 43)
image 890	Original (154, 136, 36)	Detected (154, 136, 37)
image 891	Original (114, 18, 29)	Detected (114, 18, 30)
image 892	Original (44, 70, 29)	Detected (44, 70, 30)
image 893	Original (151, 168, 23)	Detected (151, 168, 24)
image 894	Original (198, 138, 26)	Detected (198, 138, 27)
image 895	Original (158, 82, 36)	Detected (158, 82, 35)
image 896	Original (56, 137, 37)	Detected (56, 137, 36)
image 897	Original (155, 57, 30)	Detected (155, 57, 31)
image 898	Original (29, 7, 46)	Detected (29, 7, 47)
image 899	Original (74, 130, 31)	Detected (74, 130, 30)
image 900	Original (171, 174, 45)	Detected (168, 170, 42)
image 901	Original (197, 137, 40)	Detected (197, 137, 41)
image 902	Original (39, 140, 32)	Detected (39, 140, 31)
image 903	Original (36, 93, 49)	Detected (36, 93, 48)
image 904	Original (145, 197, 44)	Detected (145, 196, 42)
image 905	Original (77, 117, 36)	Detected (77, 117, 37)
image 906	Original (67, 97, 33)	Detected (67, 97, 34)
image 907	Original (36, 188, 22)	Detected (36, 188, 21)
image 908	Original (163, 199, 39)	Detected (163, 199, 38)
image 909	Original (152, 164, 40)	Detected (152, 164, 39)
image 910	Original (182, 141, 24)	Detected (182, 141, 25)
image 911	Original (37, 1, 38)	Detected (37, 0, 40)
image 912	Original (44, 117, 38)	Detected (44, 117, 39)
image 913	Original (77, 108, 19)	Detected (77, 108, 20)
image 914	Original (105, 66, 46)	Detected (105, 66, 47)
image 915	Original (85, 12, 43)	Detected (85, 12, 44)
image 916	Original (129, 147, 31)	Detected (129, 147, 32)
image 917	Original (78, 185, 34)	Detected (78, 185, 33)
image 918	Original (63, 88, 23)	Detected (63, 88, 24)
image 919	Original (120, 41, 13)	Detected (120, 41, 14)
image 920	Original (162, 147, 40)	Detected (162, 147, 39)
image 921	Original (145, 23, 34)	Detected (145, 23, 35)
image 922	Original (92, 76, 34)	Detected (92, 76, 35)
image 923	Original (139, 49, 43)	Detected (139, 49, 44)
image 924	Original (195, 86, 27)	Detected (195, 86, 28)
image 925	Original (80, 143, 24)	Detected (80, 143, 23)
image 926	Original (155, 61, 29)	Detected (155, 61, 30)
image 927	Original (11, 13, 17)	Detected (11, 13, 18)
image 928	Original (178, 138, 37)	Detected (178, 138, 38)
image 929	Original (116, 176, 22)	Detected (116, 176, 23)
image 930	Original (61, 28, 14)	Detected (61, 27, 15)
image 931	Original (94, 37, 39)	Detected (94, 37, 38)
image 932	Original (136, 52, 21)	Detected (136, 52, 20)
image 933	Original (10, 195, 33)	Detected (9, 195, 35)
image 934	Original (21, 192, 39)	Detected (21, 192, 38)
image 935	Original (72, 94, 33)	Detected (72, 94, 34)
image 936	Original (26, 72, 27)	Detected (26, 72, 28)
image 937	Original (41, 10, 19)	Detected (41, 10, 20)
image 938	Original (62, 4, 19)	Detected (62, 3, 18)
image 939	Original (114, 2, 44)	Detected (114, 1, 43)
image 940	Original (97, 74, 34)	Detected (97, 74, 35)
image 941	Original (106, 78, 31)	Detected (106, 78, 32)
image 942	Original (32, 121, 47)	Detected (32, 121, 46)
image 943	Original (42, 144, 14)	Detected (42, 144, 15)
image 944	Original (138, 20, 17)	Detected (138, 20, 18)
image 945	Original (81, 24, 39)	Detected (81, 24, 40)
image 946	Original (25, 147, 11)	Detected (25, 147, 12)
image 947	Original (144, 190, 37)	Detected (144, 190, 36)
image 948	Original (52, 84, 41)	Detected (52, 84, 40)
image 949	Original (175, 143, 40)	Detected (175, 143, 41)
image 950	Original (138, 170, 30)	Detected (138, 170, 31)
image 951	Original (187, 160, 32)	Detected (187, 160, 33)
image 952	Original (57, 86, 21)	Detected (57, 86, 22)
image 953	Original (108, 30, 37)	Detected (108, 30, 38)
image 954	Original (131, 110, 28)	Detected (131, 110, 29)
image 955	Original (18, 154, 18)	Detected (18, 154, 19)
image 956	Original (15, 9, 40)	Detected (15, 9, 41)
image 957	Original (3, 126, 42)	Detected (3, 126, 41)
image 958	Original (49, 196, 41)	Detected (49, 195, 39)
image 959	Original (141, 195, 30)	Detected (141, 194, 28)
image 960	Original (80, 22, 47)	Detected (80, 22, 48)
image 961	Original (109, 135, 32)	Detected (109, 135, 33)
